Cohort,Method,Metric,Estimate,CI_lower_95,CI_upper_95,P_value_vs_Our
External (cg_3 + multicenter),Our model,C-index,0.7371030772144531,0.7233532366767736,0.7507131596880408,
External (cg_3 + multicenter),Our model,AUROC,0.7572960268893034,0.7193195466360933,0.7952725071425135,
External (cg_3 + multicenter),TNM,C-index,0.6593881995656156,0.644208001392448,0.6753702504948705,0.0
External (cg_3 + multicenter),TNM,AUROC,0.6514038969015878,0.6152035704845166,0.6876042233186591,1.9424907216070153e-07
External (cg_3 + multicenter),BCLC,C-index,0.6789416119554537,0.6639464147247802,0.6939817126562363,0.0
External (cg_3 + multicenter),BCLC,AUROC,0.6718522510123299,0.6347105919968873,0.7089939100277726,6.053615964063397e-06
External (cg_3 + multicenter),CNLC,C-index,0.684571388341033,0.6694844138385858,0.6995648595902004,0.0
External (cg_3 + multicenter),CNLC,AUROC,0.6807655887438009,0.6426025892708468,0.718928588216755,2.7449844599347628e-05
External (cg_3 + multicenter),CLAUDE,C-index,0.7186469795320409,0.7047804643384376,0.7329626815371817,0.074
External (cg_3 + multicenter),CLAUDE,AUROC,0.6497908514946085,0.609529539267317,0.6900521637218999,2.7352722065554502e-05
External (cg_3 + multicenter),DEEPSEEK-r1,C-index,0.720111965591895,0.7050343522346856,0.734729453670616,0.084
External (cg_3 + multicenter),DEEPSEEK-r1,AUROC,0.6501145980253878,0.6097208484212888,0.6905083476294869,3.2497220203486776e-05
External (cg_3 + multicenter),GPT-4o,C-index,0.7002394707295316,0.685631323978132,0.7146195396906638,0.0
External (cg_3 + multicenter),GPT-4o,AUROC,0.6555194731334456,0.6158229564333461,0.6952159898335452,6.0925831686819976e-05
External (cg_3 + multicenter),GEMINI-2.5-pro,C-index,0.7273813315554176,0.7123978179681151,0.7424794408835556,0.304
External (cg_3 + multicenter),GEMINI-2.5-pro,AUROC,0.6692083921015515,0.6289620473079289,0.709454736895174,0.000519005081321966
External (cg_3 + multicenter),GPT-5,C-index,0.7216062915600516,0.7070800491073622,0.737225658152449,0.136
External (cg_3 + multicenter),GPT-5,AUROC,0.6534041016424769,0.6128539784606193,0.6939542248243344,4.827063769630158e-05
